0.001, 100, 0.1044, 0.012, 0.0087, LOSS: 0.5006656890049285
0.005, 100, 0.4323, 0.0457, 0.0298, LOSS: 0.2250585609739877
0.01, 100, 0.6951, 0.0686, 0.0388, LOSS: 0.08375558447063358
0.05, 100, 1.09, 0.112, 0.018, LOSS: 0.002458675317416106
0.1, 100, 1.0964, 0.1244, 0.0057, LOSS: 0.002368882181992573
0.5, 100, 1.0965, 0.1286, 0.0014, LOSS: 0.002364050344044427
1, 100, 1.0965, 0.1286, 0.0014, LOSS: 0.0023640503440440336
5, 100, -1.1869004278721427e+72, -1.8572347806572247e+87, -1.8572347806572247e+87, LOSS: 5.978242181815513e+174
10, 100, -9.977034999577239e+104, -1.3061206571859555e+120, -1.3061206571859557e+120, LOSS: 2.9566947121551232e+240
0.3, 1000, 1.0965, 0.1286, 0.0014, LOSS: 0.002364050344044033
